当前排名,代码,股票名称,最新价,涨跌额,涨跌幅,date
79,SZ002426,胜利精密,3.74,0.189244,5.06,2025-02-26
80,SZ002527,新时达,17.76,-0.5328,-3.0,2025-02-26
81,SZ002131,利欧股份,4.36,-0.020056,-0.46,2025-02-26
82,SH603002,宏昌电子,6.89,0.693134,10.06,2025-02-26
83,SZ300214,日科化学,8.39,1.680517,20.03,2025-02-26
84,SZ002681,奋达科技,9.24,0.364056,3.94,2025-02-26
85,SH600302,标准股份,6.64,0.6593519999999999,9.93,2025-02-26
86,SZ000977,浪潮信息,65.08,0.110636,0.17,2025-02-26
87,SH600143,金发科技,12.99,0.09093,0.7,2025-02-26
88,SZ002334,英威腾,10.58,0.5353479999999999,5.06,2025-02-26
89,SZ300458,全志科技,55.86,2.2344,4.0,2025-02-26
90,SH600586,金晶科技,5.58,0.5613480000000001,10.06,2025-02-26
91,SZ002523,天桥起重,3.86,0.384842,9.97,2025-02-26
92,SZ000932,华菱钢铁,4.88,0.483608,9.91,2025-02-26
93,SZ000066,中国长城,17.27,-0.409299,-2.37,2025-02-26
94,SZ002110,三钢闽光,4.02,0.407628,10.14,2025-02-26
95,SZ002048,宁波华翔,13.75,1.375,10.0,2025-02-26
96,SZ002050,三花智控,34.72,0.736064,2.12,2025-02-26
97,SZ002747,埃斯顿,25.6,1.2160000000000002,4.75,2025-02-26
98,SH603712,七一二,19.42,1.947826,10.03,2025-02-26
99,SZ002085,万丰奥威,21.01,0.140767,0.67,2025-02-26
100,SH601162,天风证券,4.8,0.144,3.0,2025-02-26
1,SH600126,杭钢股份,14.72,1.473472,10.01,2025-02-27
2,SH601881,中国银河,17.82,1.7819999999999998,10.0,2025-02-27
3,SZ002031,巨轮智能,10.8,0.30888,2.86,2025-02-27
4,SZ002369,卓翼科技,13.72,1.374744,10.02,2025-02-27
5,SZ002261,拓维信息,35.25,-2.1678750000000004,-6.15,2025-02-27
6,SZ000759,中百集团,9.99,1.000998,10.02,2025-02-27
7,SH601995,中金公司,38.87,2.60429,6.7,2025-02-27
8,SZ002276,万马股份,13.07,1.309614,10.02,2025-02-27
9,SZ300031,宝通科技,36.88,6.369176,17.27,2025-02-27
10,SZ002580,圣阳股份,15.51,1.551,10.0,2025-02-27
11,SZ002896,中大力德,116.27,11.627,10.0,2025-02-27
12,SZ002582,好想你,10.73,1.0783650000000002,10.05,2025-02-27
13,SZ002402,和而泰,24.01,0.967603,4.03,2025-02-27
14,SZ000158,常山北明,27.99,0.593388,2.12,2025-02-27
15,SH603496,恒为科技,34.64,3.464,10.0,2025-02-27
16,SZ002065,东华软件,12.96,0.370656,2.86,2025-02-27
17,SZ000785,居然智家,4.75,0.4726249999999999,9.95,2025-02-27
18,SZ300738,奥飞数据,24.88,2.741776,11.02,2025-02-27
19,SZ300059,东方财富,24.13,-0.267843,-1.11,2025-02-27
20,SZ300473,德尔股份,29.79,4.700862,15.78,2025-02-27
21,SZ300245,天玑科技,27.72,2.844072,10.26,2025-02-27
22,SZ002611,东方精工,13.73,0.985814,7.18,2025-02-27
23,SZ000882,华联股份,2.82,0.286512,10.16,2025-02-27
24,SH600210,紫江企业,7.04,0.7040000000000001,10.0,2025-02-27
25,SH600589,大位科技,6.97,0.6928179999999999,9.94,2025-02-27
26,SZ300846,首都在线,33.33,2.206446,6.62,2025-02-27
27,SH600693,东百集团,6.16,0.616,10.0,2025-02-27
28,SH600602,云赛智联,24.99,-2.289084,-9.16,2025-02-27
29,SH603118,共进股份,14.64,1.462536,9.99,2025-02-27
30,SZ300459,汤姆猫,7.06,0.584568,8.28,2025-02-27
31,SH688327,云从科技-UW,23.84,4.763232,19.98,2025-02-27
32,SZ002298,中电兴发,7.13,0.715139,10.03,2025-02-27
33,SZ000058,深 赛 格,8.87,0.891435,10.05,2025-02-27
34,SZ002406,远东传动,7.99,0.803794,10.06,2025-02-27
35,SH605100,华丰股份,23.02,2.299698,9.99,2025-02-27
36,SZ300403,汉宇集团,21.19,0.171639,0.81,2025-02-27
37,SZ300251,光线传媒,24.28,-0.228232,-0.94,2025-02-27
38,SH603667,五洲新春,49.1,-3.78561,-7.71,2025-02-27
39,SZ300007,汉威科技,50.9,6.10291,11.99,2025-02-27
40,SZ000564,供销大集,3.14,0.157628,5.02,2025-02-27
41,SH603200,上海洗霸,34.05,3.41181,10.02,2025-02-27
42,SZ002741,光华科技,19.57,1.958957,10.01,2025-02-27
43,SH605179,一鸣食品,21.67,2.1670000000000003,10.0,2025-02-27
44,SZ000981,山子高科,2.37,-0.029625,-1.25,2025-02-27
45,SH603777,来伊份,16.14,1.617228,10.02,2025-02-27
46,SZ000818,航锦科技,32.7,1.0954500000000005,3.35,2025-02-27
47,SH603660,苏州科达,8.94,0.890424,9.96,2025-02-27
48,SZ002910,庄园牧场,13.15,1.3202599999999998,10.04,2025-02-27
49,SZ300068,南都电源,20.88,0.43848,2.1,2025-02-27
50,SZ000530,冰山冷热,6.18,0.6155280000000001,9.96,2025-02-27
51,SZ002187,广百股份,7.72,0.769684,9.97,2025-02-27
52,SZ301366,一博科技,68.48,13.689152,19.99,2025-02-27
